iter	Passed	Remaining
0	8	1731
1	10	1020
2	12	800
3	14	688
4	15	600
5	16	542
6	18	500
7	19	467
8	20	440
9	21	416
10	23	396
11	24	381
12	25	371
13	27	361
14	28	349
15	29	339
16	30	332
17	32	323
18	33	315
19	34	307
20	35	302
21	36	296
22	37	289
23	38	284
24	39	278
25	40	273
26	41	268
27	43	265
28	44	261
29	45	257
30	46	253
31	47	249
32	48	245
33	49	242
34	50	238
35	52	236
36	53	233
37	54	231
38	55	228
39	56	225
40	57	223
41	58	220
42	59	217
43	60	216
44	62	214
45	63	212
46	64	211
47	66	209
48	67	207
49	68	205
50	69	203
51	70	200
52	71	198
53	72	197
54	74	195
55	75	193
56	76	191
57	77	189
58	78	188
59	79	186
60	80	184
61	81	182
62	82	180
63	84	178
64	85	176
65	86	175
66	87	173
67	88	171
68	89	169
